sign,address,amount
1,0x0832c3b801319b62ab1d3535615d1fe9afc3397a,292600000000000000000000
1,0x00ae92580ffe442350bfefc4c9e4fd5b137a0fc9,4000000000000000000000
1,0xfae6019113d78803cc9192ffdd0c8612b4983ee9,70000000000000000000000
1,0x0014700bb89f009dc0d0ed82be9ba70f89b91c8d,29990000000000000000000
1,0x8fcb3279d95987347d1fb8751ec0901a27a671d2,5000000000000000000000
1,0xd3acf0a09553a883892a23c672f8bc21dded2d0c,9600000000000000000000
1,0x06668d8be4ae761676342f75226ee779eee11b58,1000000000000000000000
1,0xa58b6a89af8cd879cb74364d80beae8eef54e1ae,60000000000000000000000
1,0x25ca94ec4af8f7b12ddad8da010b6dae8a597019,443000000000000000000
1,0x8f4c2615c6fc88074270d56a1231a4305e8bd85b,2000000000000000000000
1,0x00a43fb9553007f0760e6e563c0eec78810d33a0,48000000000000000000000
1,0x81bfbbd7f0193a116444357204863d538e85969b,244000000000000000000000
1,0xe90847ac4522bab98d45ab2f976d2c199aaedc96,10000000000000000000000
1,0xb7f1498898d70685851b5331f64bf26215f00415,505000000000000000000000
1,0xbfa362cf5ba6265f71b426a6704f30ce52387d8b,950000000000000000000
1,0x34f3ea8bb865c4d7a63f2ae374b41182bdd30fd8,1500000000000000000000
1,0xff5427bf5f4bfe067e43f96bffef394729b3493a,5000000000000000000000
1,0x97cc1202cd3ff5c13fd7d93a4c97829f898f2051,58789000000000000000000
1,0xa6bb8361eda6e56073e7493d4cc4e3d593fb1f89,500000000000000000000
1,0x007402a701204d8fc43c46a0626a8b17f6cfb89a,176000000000000000000000
1,0x7636d77b891dd86847885cc2b8a32cc2bf01ac76,2000000000000000000000
1,0x0f216140593c93d936f27c998102f8220b88459c,500000000000000000000
1,0xc2849551e288c1a5ccd812543cbb042efc38f5d5,5000000000000000000000
1,0x3b5718efb7ff9b0f8048587616d9c759680c7df4,200000000000000000000000
1,0x4bcb4d7ebe070c9a7565c71d91d93cd9e2636b50,25000000000000000000000
1,0x77f6d9261dd8e45c0e8555aa86ab1648da9b95c3,15000000000000000000000
1,0xeefcd01087281d035ece6a3bc369eb3afafc4cec,10000000000000000000000
1,0xb71d05cf5cdf7a9b15b20b9aab5e91332c271c96,2000000000000000000000
1,0xc01b854525a8b76ba220126c1e4bc924e7b3e734,151300000000000000000000
1,0x6de378f870723e6932c45495e1bdf4ed0bd6c37a,5271999770000000000000
1,0x00179ce35786382db1b35821e4a844b12448b814,909000000000000000000000
1,0x2703373402edaa685a2a1492c794657c449b011e,3000000000000000000000
1,0x33de66d2bdf094a9b75d09c36883694fe44bc383,6000000000000000000000
1,0x1a1fcbff469f1bbfa05850d3ff1920f298131895,12000000000000000000000
1,0xb412b96dbe138da98be8e475f632e1a8f0037748,500000000000000000000
1,0x6ffd41102db3e459f5af8b3c721fd525f7ac5bf0,10040000000000000000000
1,0xd6c1590b5be28453ae7f04247600f2ae697bc58a,10000000000000000000000
1,0x75ad33e4d5f0967d4df9f4709287e057a4a2901d,1637976690000000000000
1,0xd7c76bc2a222712bd408a1b4845e94cb5ffb8d47,500000000000000000000
1,0x0aed5225d19ccebc4b8bbaa8d7366bc6c67218f6,7997251562000000000000
1,0x4ca92e4354c127d16b6f34f5d27a9b0ca0043882,150100000000000000000000
1,0x8a9bcdc68d19e111663d6c986caf1da1eda1c304,2000000000000000000000
1,0x9817cf9b300b69bb5d1d51046da5d828a5ddd770,5000000000000000000000
1,0x8eb4eeb55c603cbdedc2a95fc8ec49b511f52667,48000000000000000000000
1,0xc293e2ae9630fe4347bcebcd4350a3b2564ccb10,18000000000000000000000
1,0xb9fac6494b5a2fd5141f5b09ad0e61444c8d9d47,4000000000000000000000
1,0x427e7bb79f00174fe7f3fd3f15298041a824d7c3,10000000000000000000000
1,0xcd3cc2d21dd7b9d47cb9093581b75d124f6f3bb1,11000000000000000000000
1,0x008ffdea584d1c91e2e3547bd2dcc523bdcb0f96,12000000000000000000000
1,0x6f4adffae2f44ce3a80ca4693be93dc54a93be7e,3000000000000000000000
1,0x6ec294e89262e36c6462a4192b9ccd73162cd85b,7000000000000000000000
1,0x36c115c4dee9cd8b7d713bf4686db1f9772e8249,2500000000000000000000
1,0x5e866cc10dca8821fe43ac774284668343f1ed29,250000000000000000000000
1,0x1894a5bc142ef208b6bc5023b5403e26007a3f5f,60000000000000000000000
1,0x2565f8e0b33f2d3bb1c0e2dd5fbb972df48654c8,360000000000000000000000
1,0xf1ad946ae30a285d96ea396acd3fd22c5aa75ef8,9000000000000000000000
1,0x6bf0627e48ac7a814d425fa2454e2a7da11737f5,80500000000000000000000
1,0x129631915a3ca10b9a159a7dc95bde0ba71682d3,18000000000000000000000
1,0x9264acf177749cf61f790bbfe0933f4ebcfdd3c7,9980000000000000000000
1,0xc44cfce1d4312bf8746f7c03a6be5564ad221a7f,12000000000000000000000
1,0xc2bc281e5d16b54a10fcc6e3f3baea8b6ec0d9b4,10000000000000000000000
1,0xe6f87404f4c1dca9e52e4c8d011451dc8576faae,5000000000000000000000
1,0x00420fb5d1dbf618f2b1056d4575f3988d605d0c,36000000000000000000000
1,0x9a3949fe872a5d137f86e25552183b9c67c30423,10000000000000000000000
1,0x930c4667464fc346b4065b3ffde8d4a8533c0ed3,80000000000000000000000
1,0x11669cce6af3ce1ef3777721fcc0eef0ee57eaba,7694938401920000000000
1,0xe154be458ab7baca2c50d7c4ea124f19fb0e2e36,4000000000000000000000
1,0x347ae86b2448d5adf6cf8e2b8536ada71c5af22c,7500000000000000000000
1,0xdb671ebbaa43306775f52f8b5620a37d1926ac0b,12000000000000000000000
1,0xd3388e1ed707443442afa9bb133d9dffacd9b467,600000000000000000000000
1,0x5f3f428c4fb6151e8c26be254b5c50d0be072c69,36000000000000000000000
1,0x687ec53bf2d720d4033d146c3f023a4958210aea,4000000000000000000000
1,0x8052f614d75963cc7b68002e2cba51dd500b969b,2000000000000000000000
1,0xf4c8b4573c31b5a70b92603f05e3bc0bfe92901a,700000000000000000000
1,0x007eec114cb1f1c19bb431c4143310e4c42e6c57,10000000000000000000000
1,0xce4c9c5271d33b9d94191c69120f76dd7901ed81,60000000000000000000000
1,0x742a320ef7f054caf37b05dd785cc56bb46865b9,72000000000000000000000
1,0x7976b95f1c30725f25a2ee922c68a86a90ff624c,22500000000000000000000
1,0x8bc29bc0941680d4deb525a6abf1e9269fbc98ca,10000000000000000000000
